customerID,genero,idoso,conjuge,dependentes,tempo_permanecido,servico_telefone,multiplas_linhas,servico_internet,seguranca_online,backup_online,protecao_dispositivo,suporte_ti,streaming_tv,streaming_movies,tempo_contratual,cobranca_digital,metodo_pagamento,cobranca_mensal,total_cobranca,churn
2954-PIBKO,Mulher,0,Sim,Sim,69,Sim,Sim,Sem Fibra Óptica,Sim,Não,Sim,Sim,Não,Não,Dois anos,Sim,Cartão de Crédito,64.15,4254.1,Não
8012-SOUDQ,Mulher,1,Não,Não,43,Sim,Sim,Fibra Óptica,Não,Sim,Não,Não,Sim,Não,Mês a mês,Sim,Cobrança Eletrônica,90.25,3838.75,Não
9420-LOJKX,Mulher,0,Não,Não,15,Sim,Não,Fibra Óptica,Sim,Sim,Não,Não,Sim,Sim,Mês a mês,Sim,Cartão de Crédito,99.1,1426.4,Sim
6575-SUVOI,Mulher,1,Sim,Não,25,Sim,Sim,Sem Fibra Óptica,Sim,Não,Não,Sim,Sim,Não,Mês a mês,Sim,Cartão de Crédito,69.5,1752.65,Não
7495-OOKFY,Mulher,1,Sim,Não,8,Sim,Sim,Fibra Óptica,Não,Sim,Não,Não,Não,Não,Mês a mês,Sim,Cartão de Crédito,80.65,633.3,Sim
4667-QONEA,Mulher,1,Sim,Sim,60,Sim,Não,Sem Fibra Óptica,Sim,Sim,Sim,Sim,Não,Sim,Um ano,Sim,Cartão de Crédito,74.85,4456.35,Não
1658-BYGOY,Homem,1,Não,Não,18,Sim,Sim,Fibra Óptica,Não,Não,Não,Não,Sim,Sim,Mês a mês,Sim,Cobrança Eletrônica,95.45,1752.55,Sim
8769-KKTPH,Mulher,0,Sim,Sim,63,Sim,Sim,Fibra Óptica,Sim,Não,Não,Não,Sim,Sim,Um ano,Sim,Cartão de Crédito,99.65,6311.2,Não
5067-XJQFU,Homem,1,Sim,Sim,66,Sim,Sim,Fibra Óptica,Não,Sim,Sim,Sim,Sim,Sim,Um ano,Sim,Cobrança Eletrônica,108.45,7076.35,Não
3957-SQXML,Mulher,0,Sim,Sim,34,Sim,Sim,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Dois anos,Não,Cartão de Crédito,24.95,894.3,Não
5954-BDFSG,Mulher,0,Não,Não,72,Sim,Sim,Fibra Óptica,Não,Não,Sim,Sim,Sim,Sim,Dois anos,Sim,Cartão de Crédito,107.5,7853.7,Não
0434-CSFON,Mulher,0,Sim,Não,47,Sim,Sim,Fibra Óptica,Não,Não,Sim,Não,Sim,Sim,Mês a mês,Sim,Cobrança Eletrônica,100.5,4707.1,Não
1215-FIGMP,Homem,0,Não,Não,60,Sim,Sim,Fibra Óptica,Não,Sim,Não,Não,Sim,Não,Mês a mês,Sim,Transferência Bancária,89.9,5450.7,Não
0526-SXDJP,Homem,0,Sim,Não,72,Não,Sem serviço telefônico,Sem Fibra Óptica,Sim,Sim,Sim,Não,Não,Não,Dois anos,Não,Transferência Bancária,42.1,2962,Não
0557-ASKVU,Mulher,0,Sim,Sim,18,Sim,Não,Sem Fibra Óptica,Não,Não,Sim,Sim,Não,Não,Um ano,Sim,Cartão de Crédito,54.4,957.1,Não
5698-BQJOH,Mulher,0,Não,Não,9,Sim,Sim,Fibra Óptica,Não,Não,Não,Não,Sim,Sim,Mês a mês,Não,Cobrança Eletrônica,94.4,857.25,Sim
5122-CYFXA,Mulher,0,Não,Não,3,Sim,Não,Sem Fibra Óptica,Não,Sim,Não,Sim,Sim,Sim,Mês a mês,Sim,Cobrança Eletrônica,75.3,244.1,Não
8627-ZYGSZ,Homem,0,Sim,Não,47,Sim,Sim,Fibra Óptica,Não,Sim,Não,Não,Não,Não,Um ano,Sim,Cobrança Eletrônica,78.9,3650.35,Não
3410-YOQBQ,Mulher,0,Não,Não,31,Sim,Não,Sem Fibra Óptica,Não,Sim,Sim,Sim,Sim,Sim,Dois anos,Não,Cobrança Correio,79.2,2497.2,Não
3170-NMYVV,Mulher,0,Sim,Sim,50,Sim,Não,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Dois anos,Não,Transferência Bancária,20.15,930.9,Não
7410-OIEDU,Homem,0,Não,Não,10,Sim,Não,Fibra Óptica,Sim,Não,Sim,Não,Não,Não,Mês a mês,Sim,Cobrança Correio,79.85,887.35,Não
2273-QCKXA,Homem,0,Não,Não,1,Sim,Não,Sem Fibra Óptica,Não,Não,Não,Sim,Não,Não,Mês a mês,Não,Cobrança Correio,49.05,49.05,Não
0731-EBJQB,Mulher,0,Sim,Sim,52,Sim,Não,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Um ano,Sim,Cobrança Eletrônica,20.4,1090.65,Não
1891-QRQSA,Homem,1,Sim,Sim,64,Sim,Sim,Fibra Óptica,Sim,Não,Sim,Sim,Sim,Sim,Dois anos,Sim,Transferência Bancária,111.6,7099,Não
8028-PNXHQ,Homem,0,Sim,Sim,62,Sim,Sim,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Dois anos,Sim,Transferência Bancária,24.25,1424.6,Não
5630-AHZIL,Mulher,0,Não,Sim,3,Sim,Não,Sem Fibra Óptica,Sim,Não,Não,Sim,Não,Sim,Mês a mês,Sim,Transferência Bancária,64.5,177.4,Não
2673-CXQEU,Mulher,1,Não,Não,56,Sim,Sim,Fibra Óptica,Sim,Sim,Sim,Não,Sim,Sim,Um ano,Não,Cobrança Eletrônica,110.5,6139.5,Não
6416-JNVRK,Mulher,0,Não,Não,46,Sim,Não,Sem Fibra Óptica,Não,Não,Não,Não,Não,Sim,Um ano,Não,Cartão de Crédito,55.65,2688.85,Não
5590-ZSKRV,Mulher,0,Sim,Sim,8,Sim,Não,Sem Fibra Óptica,Sim,Sim,Não,Não,Não,Não,Mês a mês,Não,Cobrança Correio,54.65,482.25,Não
0191-ZHSKZ,Homem,1,Não,Não,30,Sim,Não,Sem Fibra Óptica,Sim,Sim,Não,Não,Sim,Sim,Mês a mês,Sim,Cobrança Eletrônica,74.75,2111.3,Não
3887-PBQAO,Mulher,0,Sim,Sim,45,Sim,Sim,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Um ano,Sim,Cartão de Crédito,25.9,1216.6,Não
5919-TMRGD,Mulher,0,Não,Sim,1,Sim,Não,Fibra Óptica,Não,Não,Não,Não,Sim,Não,Mês a mês,Sim,Cobrança Eletrônica,79.35,79.35,Sim
8108-UXRQN,Mulher,0,Sim,Sim,11,Não,Sem serviço telefônico,Sem Fibra Óptica,Sim,Não,Não,Não,Sim,Sim,Mês a mês,Não,Cobrança Eletrônica,50.55,565.35,Não
9191-MYQKX,Mulher,0,Sim,Não,7,Sim,Não,Fibra Óptica,Não,Não,Sim,Não,Não,Não,Mês a mês,Sim,Transferência Bancária,75.15,496.9,Sim
9919-YLNNG,Mulher,0,Não,Não,42,Sim,Não,Fibra Óptica,Não,Sim,Sim,Sim,Sim,Sim,Mês a mês,Sim,Transferência Bancária,103.8,4327.5,Não
0318-ZOPWS,Mulher,0,Sim,Não,49,Sim,Não,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Dois anos,Sim,Transferência Bancária,20.15,973.35,Não
4445-ZJNMU,Homem,0,Não,Não,9,Sim,Sim,Fibra Óptica,Não,Sim,Não,Não,Sim,Sim,Mês a mês,Sim,Cartão de Crédito,99.3,918.75,Não
4808-YNLEU,Mulher,0,Sim,Não,35,Sim,Não,Sem Fibra Óptica,Sim,Não,Não,Não,Sim,Não,Um ano,Sim,Transferência Bancária,62.15,2215.45,Não
1862-QRWPE,Mulher,0,Sim,Sim,48,Sim,Não,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Dois anos,Não,Transferência Bancária,20.65,1057,Não
2796-NNUFI,Mulher,0,Sim,Sim,46,Sim,Não,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Dois anos,Sim,Cobrança Correio,19.95,927.1,Não
3016-KSVCP,Homem,0,Sim,Não,29,Não,Sem serviço telefônico,Sem Fibra Óptica,Não,Não,Não,Não,Sim,Não,Mês a mês,Não,Cobrança Correio,33.75,1009.25,Não
4767-HZZHQ,Homem,0,Sim,Sim,30,Sim,Não,Fibra Óptica,Não,Sim,Sim,Não,Não,Não,Mês a mês,Não,Transferência Bancária,82.05,2570.2,Não
2424-WVHPL,Homem,1,Não,Não,1,Sim,Não,Fibra Óptica,Não,Não,Não,Sim,Não,Não,Mês a mês,Não,Cobrança Eletrônica,74.7,74.7,Não
7233-PAHHL,Homem,0,Sim,Sim,66,Sim,Sim,Sem Fibra Óptica,Sim,Não,Sim,Sim,Sim,Sim,Dois anos,Sim,Cobrança Correio,84,5714.25,Não
6067-NGCEU,Mulher,0,Não,Não,65,Sim,Sim,Fibra Óptica,Sim,Sim,Sim,Não,Sim,Sim,Mês a mês,Sim,Cartão de Crédito,111.05,7107,Não
9848-JQJTX,Homem,0,Não,Não,72,Sim,Sim,Fibra Óptica,Não,Sim,Sim,Não,Sim,Sim,Dois anos,Sim,Transferência Bancária,100.9,7459.05,Não
8637-XJIVR,Mulher,0,Não,Não,12,Sim,Sim,Fibra Óptica,Sim,Não,Não,Não,Não,Não,Mês a mês,Sim,Cobrança Eletrônica,78.95,927.35,Sim
9803-FTJCG,Homem,0,Sim,Sim,71,Sim,Sim,Sem Fibra Óptica,Sim,Sim,Não,Sim,Não,Não,Um ano,Sim,Cartão de Crédito,66.85,4748.7,Não
0278-YXOOG,Homem,0,Não,Não,5,Sim,Não,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Mês a mês,Não,Cobrança Correio,21.05,113.85,Sim
3212-KXOCR,Homem,0,Não,Não,52,Sim,Não,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Dois anos,Não,Transferência Bancária,21,1107.2,Não
4598-XLKNJ,Mulher,1,Sim,Não,25,Sim,Não,Fibra Óptica,Não,Sim,Sim,Não,Sim,Sim,Mês a mês,Sim,Cobrança Eletrônica,98.5,2514.5,Sim
6380-ARCEH,Homem,0,Não,Não,1,Sim,Não,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Mês a mês,Não,Cobrança Correio,20.2,20.2,Não
3679-XASPY,Mulher,0,Sim,Sim,1,Sim,Não,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Mês a mês,Não,Cobrança Eletrônica,19.45,19.45,Não
7123-WQUHX,Homem,0,Não,Não,38,Sim,Sim,Fibra Óptica,Não,Não,Sim,Sim,Sim,Não,Um ano,Não,Transferência Bancária,95,3605.6,Não
5386-THSLQ,Mulher,1,Sim,Não,66,Não,Sem serviço telefônico,Sem Fibra Óptica,Não,Sim,Sim,Não,Sim,Não,Um ano,Não,Transferência Bancária,45.55,3027.25,Não
3192-NQECA,Homem,0,Sim,Não,68,Sim,Sim,Fibra Óptica,Não,Sim,Sim,Sim,Sim,Sim,Dois anos,Sim,Transferência Bancária,110,7611.85,Sim
6180-YBIQI,Homem,0,Não,Não,5,Não,Sem serviço telefônico,Sem Fibra Óptica,Não,Não,Não,Não,Não,Não,Mês a mês,Não,Cobrança Correio,24.3,100.2,Não
6728-DKUCO,Mulher,0,Sim,Sim,72,Sim,Sim,Fibra Óptica,Sim,Sim,Não,Não,Sim,Sim,Um ano,Sim,Cobrança Eletrônica,104.15,7303.05,Não
9750-BOOHV,Mulher,0,Não,Não,32,Não,Sem serviço telefônico,Sem Fibra Óptica,Sim,Não,Não,Não,Não,Não,Um ano,Não,Cobrança Correio,30.15,927.65,Não
8597-CWYHH,Homem,0,Não,Não,43,Sim,Sim,Fibra Óptica,Não,Não,Não,Não,Sim,Sim,Um ano,Não,Cobrança Correio,94.35,3921.3,Não
2848-YXSMW,Homem,0,Sim,Sim,72,Sim,Não,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Dois anos,Não,Cartão de Crédito,19.4,1363.25,Não
0486-HECZI,Homem,0,Sim,Não,55,Sim,Sim,Fibra Óptica,Sim,Sim,Não,Não,Sim,Não,Mês a mês,Sim,Cobrança Eletrônica,96.75,5238.9,Sim
4549-ZDQYY,Mulher,0,Não,Não,52,Sim,Não,Sem Fibra Óptica,Sim,Não,Sim,Sim,Não,Não,Um ano,Não,Cartão de Crédito,57.95,3042.25,Não
5712-AHQNN,Mulher,0,Não,Não,43,Sim,Não,Fibra Óptica,Não,Sim,Sim,Não,Sim,Não,Mês a mês,Sim,Cobrança Eletrônica,91.65,3954.1,Não
4846-WHAFZ,Mulher,1,Sim,Não,37,Sim,Sim,Fibra Óptica,Não,Não,Não,Não,Não,Não,Mês a mês,Sim,Cobrança Eletrônica,76.5,2868.15,Sim
5256-SKJGO,Mulher,0,Sim,Sim,64,Não,Sem serviço telefônico,Sem Fibra Óptica,Não,Sim,Não,Sim,Sim,Sim,Dois anos,Sim,Cobrança Eletrônica,54.6,3423.5,Não
3071-VBYPO,Homem,0,Sim,Sim,3,Sim,Não,Fibra Óptica,Sim,Sim,Não,Não,Sim,Não,Mês a mês,Não,Cobrança Eletrônica,89.85,248.4,Não
9560-BBZXK,Mulher,0,Não,Não,36,Não,Sem serviço telefônico,Sem Fibra Óptica,Sim,Não,Não,Não,Não,Não,Dois anos,Não,Transferência Bancária,31.05,1126.35,Não
5299-RULOA,Mulher,0,Sim,Sim,10,Sim,Sim,Fibra Óptica,Sim,Não,Não,Não,Sim,Sim,Mês a mês,Sim,Cobrança Eletrônica,100.25,1064.65,Sim
8402-OOOHJ,Mulher,0,Não,Não,41,Sim,Não,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Dois anos,Não,Cobrança Correio,20.65,835.15,Não
9445-ZUEQE,Homem,0,Sim,Sim,27,Sim,Sim,Fibra Óptica,Não,Sim,Não,Sim,Não,Não,Mês a mês,Sim,Cartão de Crédito,85.2,2151.6,Não
1091-SOZGA,Mulher,0,Sim,Sim,56,Sim,Sim,Fibra Óptica,Não,Não,Sim,Não,Sim,Sim,Um ano,Sim,Cartão de Crédito,99.8,5515.45,Não
2928-HLDBA,Mulher,0,Não,Não,6,Sim,Não,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Mês a mês,Não,Cobrança Correio,20.7,112.75,Não
0404-SWRVG,Homem,0,Não,Não,3,Sim,Sim,Fibra Óptica,Não,Não,Não,Não,Não,Não,Mês a mês,Sim,Cobrança Eletrônica,74.4,229.55,Sim
6497-TILVL,Mulher,0,Sim,Sim,7,Sim,Não,Sem Fibra Óptica,Sim,Não,Não,Não,Não,Não,Mês a mês,Não,Cobrança Correio,50.7,350.35,Não
7219-TLZHO,Mulher,0,Sim,Sim,4,Sim,Não,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Mês a mês,Não,Cobrança Correio,20.85,62.9,Não
4622-YNKIJ,Homem,0,Não,Não,33,Sim,Não,Fibra Óptica,Sim,Não,Não,Sim,Sim,Não,Dois anos,Sim,Cobrança Eletrônica,88.95,3027.65,Não
4412-YLTKF,Mulher,1,Não,Não,27,Sim,Sim,Fibra Óptica,Não,Não,Sim,Não,Não,Não,Mês a mês,Sim,Cobrança Eletrônica,78.05,2135.5,Sim
6734-PSBAW,Homem,0,Sim,Não,72,Sim,Sim,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Dois anos,Sim,Transferência Bancária,23.55,1723.95,Não
3930-ZGWVE,Homem,0,Não,Não,1,Sim,Não,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Sem acesso a internet,Mês a mês,Não,Cobrança Correio,19.75,19.75,Não
2639-UGMAZ,Homem,1,Não,Não,71,Não,Sem serviço telefônico,Sem Fibra Óptica,Sim,Sim,Não,Não,Sim,Sim,Um ano,Sim,Cobrança Eletrônica,56.45,3985.35,Não
2876-GZYZC,Mulher,0,Não,Não,13,Sim,Sim,Fibra Óptica,Não,Não,Não,Não,Não,Sim,Mês a mês,Sim,Cobrança Eletrônica,85.95,1215.65,Não
6207-WIOLX,Mulher,0,Sim,Sim,25,Não,Sem serviço telefônico,Sem Fibra Óptica,Sim,Sim,Sim,Não,Sim,Sim,Mês a mês,Sim,Cartão de Crédito,58.6,1502.65,Sim
8587-XYZSF,Homem,0,Não,Não,67,Sim,Não,Sem Fibra Óptica,Não,Não,Não,Sim,Não,Não,Dois anos,Não,Transferência Bancária,50.55,3260.1,Não
